Accession,year,conforms
GSE102248,2017,1
GSE102250,2018,1
GSE102254,2019,1
GSE102255,2019,0
GSE102269,2017,0
GSE102270,2018,0
GSE102271,2018,0
GSE102273,2019,1
GSE102277,2018,1
GSE102279,2017,1
GSE102283,2017,0
GSE102284,2018,1
GSE102291,2018,1
GSE102294,2018,1
GSE102296,2017,1
GSE102299,2017,1
GSE102300,2018,1
GSE102301,2018,1
GSE102302,2017,1
GSE102303,2017,0
GSE102305,2017,1
GSE102306,2017,0
GSE102308,2018,1
GSE102309,2019,1
GSE102310,2019,0
GSE102311,2018,0
GSE102313,2019,1
GSE102315,2018,1
GSE102316,2018,1
GSE102317,2017,0
GSE102319,2018,1
GSE102320,2018,1
GSE102321,2018,0
GSE102332,2017,1
GSE102333,2017,1
GSE102334,2017,1
GSE102335,2018,0
GSE102336,2018,1
GSE102337,2017,0
GSE102339,2018,1
GSE102342,2018,0
GSE102344,2019,0
GSE102345,2017,1
GSE102346,2017,1
GSE102348,2018,0
GSE102349,2017,1
GSE102351,2018,1
GSE102352,2018,1
GSE102353,2018,1
GSE102354,2018,1
GSE102357,2019,0
GSE102359,2018,1
GSE102361,2017,1
GSE102363,2017,0
GSE102364,2017,0
GSE102365,2017,1
GSE102366,2017,1
GSE102368,2018,1
GSE102369,2018,1
GSE102370,2018,0
GSE102371,2018,0
GSE102372,2017,0
GSE102374,2017,0
GSE102376,2019,1
GSE102377,2018,1
GSE102378,2018,1
GSE102381,2017,1
GSE102385,2017,1
GSE102386,2017,0
GSE102388,2018,1
GSE102392,2017,1
GSE102394,2018,0
GSE102395,2017,1
GSE102398,2018,1
GSE102399,2017,1
GSE102404,2017,1
GSE102407,2018,1
GSE102408,2018,0
GSE102409,2018,0
GSE102413,2018,1
GSE102415,2017,0
GSE102419,2018,1
GSE102421,2017,1
GSE102422,2017,1
GSE102435,2018,0
GSE102440,2017,1
GSE102443,2017,1
GSE102446,2017,1
GSE102448,2018,0
GSE102450,2018,0
GSE102454,2017,1
GSE102455,2017,1
GSE102456,2017,0
GSE102457,2018,1
GSE102460,2017,0
GSE102461,2017,0
GSE102463,2019,1
GSE102467,2017,1
GSE102474,2018,0
GSE102475,2017,1
GSE102476,2017,1
GSE102478,2019,1
GSE102479,2018,1
GSE102480,2018,0
GSE102481,2017,1
GSE102486,2018,1
GSE102490,2018,0
GSE102491,2017,1
GSE102492,2017,1
GSE102494,2017,1
GSE102495,2018,1
GSE102498,2018,1
GSE102505,2018,1
GSE102506,2019,1
GSE102507,2017,1
GSE102510,2019,0
GSE102511,2017,1
GSE102518,2018,0
GSE102531,2018,1
GSE102532,2018,0
GSE102533,2018,1
GSE102534,2018,1
GSE102535,2018,0
GSE102539,2019,0
GSE102543,2018,1
GSE102546,2018,1
GSE102556,2017,1
GSE102557,2018,1
GSE102560,2017,1
GSE102561,2017,0
GSE102562,2017,1
GSE102563,2017,1
GSE102564,2017,1
GSE102566,2017,1
GSE102569,2018,1
GSE102577,2017,0
GSE102580,2018,1
GSE102582,2017,1
GSE102583,2017,1
GSE102586,2017,0
GSE102589,2018,1
GSE102591,2018,0
GSE102592,2018,0
GSE102595,2018,0
GSE102596,2018,0
GSE102597,2017,1
GSE102598,2018,1
GSE102599,2019,1
GSE102600,2017,1
GSE102603,2018,1
GSE102604,2018,1
GSE102605,2018,0
GSE102606,2018,1
GSE102608,2018,1
GSE102609,2018,1
GSE102611,2018,1
GSE102615,2018,0
GSE102616,2018,1
GSE102623,2017,1
GSE102624,2017,1
GSE102625,2017,0
GSE102626,2017,1
GSE102628,2017,1
GSE102629,2018,1
GSE102630,2018,1
GSE102633,2019,0
GSE102637,2019,1
GSE102638,2018,0
GSE102639,2017,1
GSE102642,2017,1
GSE102646,2017,1
GSE102648,2018,0
GSE102651,2017,1
GSE102652,2017,0
GSE102653,2018,0
GSE102654,2018,0
GSE102659,2017,0
GSE102661,2018,1
GSE102662,2018,0
GSE102664,2017,1
GSE102665,2018,1
GSE102668,2018,1
GSE102672,2018,1
GSE102674,2019,0
GSE102675,2017,0
GSE102676,2017,1
GSE102677,2019,0
GSE102678,2019,0
GSE102680,2018,1
GSE102682,2018,0
GSE102683,2019,1
GSE102685,2017,1
GSE102688,2017,1
GSE102690,2018,0
GSE102694,2017,1
GSE102698,2017,0
GSE102702,2017,1
GSE102711,2018,0
GSE102713,2018,1
GSE102718,2017,1
GSE102721,2018,0
GSE102727,2018,1
GSE102728,2017,1
GSE102729,2018,1
GSE102730,2018,0
GSE102732,2019,1
GSE102737,2018,1
GSE102738,2017,1
GSE102741,2017,1
GSE102742,2018,0
GSE102744,2018,0
GSE102746,2018,0
GSE102747,2019,1
GSE102748,2018,0
GSE102751,2019,1
GSE102753,2017,0
GSE102757,2017,1
GSE102762,2017,1
GSE102763,2017,0
GSE102766,2018,1
GSE102767,2018,1
GSE102768,2017,0
GSE102770,2018,1
GSE102772,2017,1
GSE102774,2018,0
GSE102779,2018,1
GSE102780,2018,1
GSE102783,2017,0
GSE102786,2017,0
GSE102788,2017,1
GSE102789,2017,1
GSE102792,2018,1
GSE102793,2018,1
GSE102794,2017,1
GSE102795,2017,0
GSE102796,2017,1
GSE102797,2017,1
GSE102798,2017,1
GSE102799,2018,1
GSE102800,2018,1
GSE102801,2018,0
GSE102806,2018,1
GSE102807,2018,0
GSE102808,2018,1
GSE102811,2018,1
GSE102812,2017,1
GSE102813,2018,1
GSE102814,2017,0
GSE102816,2018,1
GSE102817,2017,0
GSE102824,2019,1
GSE102826,2019,1
GSE102827,2017,1
GSE102830,2018,1
GSE102831,2019,0
GSE102837,2018,1
GSE102838,2017,0
GSE102840,2018,1
GSE102841,2018,0
GSE102842,2017,1
GSE102849,2018,0
GSE102852,2018,1
GSE102855,2018,0
GSE102856,2017,0
GSE102857,2017,1
GSE102858,2017,1
GSE102859,2017,0
GSE102860,2017,1
GSE102861,2018,0
GSE102864,2017,1
GSE102865,2018,1
GSE102867,2017,1
GSE102870,2018,1
GSE102871,2018,1
GSE102872,2018,1
GSE102873,2018,1
GSE102875,2017,1
GSE102880,2018,1
GSE102881,2018,1
GSE102888,2018,0
GSE102890,2017,1
GSE102893,2017,1
GSE102894,2018,0
GSE102898,2017,0
GSE102899,2018,1
GSE102902,2017,0
GSE102903,2017,0
GSE102904,2017,0
GSE102908,2018,1
GSE102910,2017,1
GSE102917,2018,1
GSE102918,2018,0
GSE102919,2018,1
GSE102921,2018,0
GSE102922,2017,1
GSE102923,2017,1
GSE102924,2017,0
GSE102934,2018,1
GSE102935,2019,1
GSE102937,2018,0
GSE102939,2017,1
GSE102943,2017,1
GSE102946,2017,1
GSE102947,2018,1
GSE102950,2018,1
GSE102951,2017,0
GSE102956,2018,1
GSE102957,2018,0
GSE102959,2018,0
GSE102962,2018,1
GSE102963,2018,0
GSE102965,2017,1
GSE102968,2019,1
GSE102973,2018,0
GSE102982,2017,0
GSE102983,2018,1
GSE102987,2018,1
GSE102988,2019,1
GSE102990,2018,1
GSE102992,2017,1
GSE102996,2017,0
GSE103000,2018,1
GSE103001,2017,0
GSE103004,2017,1
GSE103011,2017,1
GSE103016,2017,1
GSE103019,2018,1
GSE103020,2017,1
GSE103021,2018,1
GSE103029,2017,1
GSE103033,2018,1
GSE103035,2019,1
GSE103039,2017,0
GSE103041,2018,1
GSE103042,2017,1
GSE103044,2018,1
GSE103046,2018,0
GSE103047,2018,1
GSE103053,2018,1
GSE103054,2018,1
GSE103057,2018,1
GSE103062,2019,1
GSE103064,2018,1
GSE103065,2017,1
GSE103066,2017,0
GSE103068,2018,1
GSE103069,2019,1
GSE103070,2018,0
GSE103071,2017,0
GSE103074,2019,0
GSE103075,2017,0
GSE103078,2017,0
GSE103082,2018,0
GSE103084,2019,0
GSE103086,2017,0
GSE103087,2017,1
GSE103090,2017,1
GSE103095,2019,0
GSE103096,2019,0
GSE103097,2019,0
GSE103103,2019,1
GSE103108,2019,0
GSE103112,2017,0
GSE103113,2018,1
GSE103114,2017,0
GSE103116,2019,0
GSE103120,2018,1
GSE103122,2017,0
GSE103124,2018,1
GSE103126,2017,1
GSE103127,2018,0
GSE103133,2018,1
GSE103143,2019,1
GSE103146,2017,1
GSE103147,2017,1
GSE103152,2017,1
GSE103153,2019,1
GSE103154,2018,1
GSE103158,2017,0
GSE103162,2017,1
GSE103164,2017,0
GSE103167,2017,1
GSE103169,2018,1
GSE103170,2018,0
GSE103173,2018,0
GSE103175,2017,1
GSE103180,2017,1
GSE103181,2019,1
GSE103183,2017,1
GSE103185,2017,1
GSE103194,2017,0
GSE103195,2017,0
GSE103200,2018,1
GSE103201,2018,1
GSE103202,2018,1
GSE103203,2019,1
GSE103207,2017,1
GSE103209,2019,1
GSE103214,2017,0
GSE103219,2017,1
GSE103221,2019,1
GSE103224,2018,0
GSE103225,2018,0
GSE103226,2017,1
GSE103232,2018,1
GSE103239,2018,0
GSE103240,2017,1
GSE103242,2017,1
GSE103243,2017,0
GSE103244,2018,0
GSE103246,2017,0
GSE103247,2017,0
GSE103248,2017,0
GSE103252,2017,1
GSE103257,2019,1
GSE103259,2017,1
GSE103261,2017,1
GSE103263,2017,0
GSE103264,2018,1
GSE103266,2018,1
GSE103267,2018,0
GSE103268,2018,0
GSE103269,2018,0
GSE103270,2017,0
GSE103272,2017,0
GSE103275,2017,0
